""
_PKEY,_CON_ID,_DBID,_INSTANCE_NUMBER,_HH,BUSY_TIME_PERC90,FREE_MEMORY_BYTES_PERC90,IDLE_TIME_PERC90,INACTIVE_MEMORY_BYTES_PERC90,IOWAIT_TIME_PERC90,LOAD_PERC90,NICE_TIME_PERC90,NUM_CPUS_PERC90,NUM_CPU_CORES_PERC90,NUM_CPU_SOCKETS_PERC90,PHYSICAL_MEMORY_BYTES_PERC90,RSRC_MGR_CPU_WAIT_TIME_PERC90,SWAP_FREE_BYTES_PERC90,SYS_TIME_PERC90,USER_TIME_PERC90,VM_IN_BYTES_PERC90,VM_OUT_BYTES_PERC90,BUSY_TIME_PERC95,FREE_MEMORY_BYTES_PERC95,IDLE_TIME_PERC95,INACTIVE_MEMORY_BYTES_PERC95,IOWAIT_TIME_PERC95,LOAD_PERC95,NICE_TIME_PERC95,NUM_CPUS_PERC95,NUM_CPU_CORES_PERC95,NUM_CPU_SOCKETS_PERC95,PHYSICAL_MEMORY_BYTES_PERC95,RSRC_MGR_CPU_WAIT_TIME_PERC95,SWAP_FREE_BYTES_PERC95,SYS_TIME_PERC95,USER_TIME_PERC95,VM_IN_BYTES_PERC95,VM_OUT_BYTES_PERC95
ol79-orcl-db01_ORCLCDB_132841,0,2832984852,1,0,3847085,124865004339,3698097588,3485774643,208074,0,61,32,16,2,134543233024,0,12897480704,1880865,1057201,0,0,3968166,124902951322,3808512857,3665443226,213143,0,62,32,16,2,134543233024,0,12897480704,1940974,1089884,0,0
ol79-orcl-db01_ORCLCDB_132841,0,2832984852,1,1,3861275,124868467098,3709638172,3486408704,208598,0,61,32,16,2,134543233024,0,12897480704,1887730,1061267,0,0,3982720,124903730381,3820052683,3665879040,213599,0,62,32,16,2,134543233024,0,12897480704,1947919,1094156,0,0
ol79-orcl-db01_ORCLCDB_132841,0,2832984852,1,2,3873468,124866052915,3721182548,3486407885,209115,0,61,32,16,2,134543233024,0,12897480704,1894042,1064282,0,0,3995249,124901616026,3831596139,3666335334,214045,0,62,32,16,2,134543233024,0,12897480704,1954374,1097234,0,0
ol79-orcl-db01_ORCLCDB_132841,0,2832984852,1,3,3885570,124869518950,3732724178,3486504550,209540,0,65,32,16,2,134543233024,0,12897480704,1900356,1067213,0,0,4007723,124901471027,3843137210,3666248499,214506,0,66,32,16,2,134543233024,0,12897480704,1960869,1100208,0,0
ol79-orcl-db01_ORCLCDB_132841,0,2832984852,1,4,3896930,124862890803,3744073115,3486824038,209954,0,65,32,16,2,134543233024,0,12897480704,1906190,1070015,0,0,4019821,124896790938,3854486628,3666649907,214953,0,66,32,16,2,134543233024,0,12897480704,1967123,1103102,0,0
ol79-orcl-db01_ORCLCDB_132841,0,2832984852,1,5,3908279,124860927181,3755614839,3487144346,210511,0,65,32,16,2,134543233024,0,12897480704,1912013,1072806,0,0,4031966,124893513318,3866028852,3666939085,215497,0,66,32,16,2,134543233024,0,12897480704,1973410,1106005,0,0
ol79-orcl-db01_ORCLCDB_132841,0,2832984852,1,6,3919584,124857686426,3767156008,3487494963,210930,0,65,32,16,2,134543233024,0,12897480704,1917761,1075587,0,0,4044066,124891491533,3877570077,3667483034,215975,0,66,32,16,2,134543233024,0,12897480704,1979636,1108890,0,0
ol79-orcl-db01_ORCLCDB_132841,0,2832984852,1,7,3931082,124857063834,3778696489,3487660442,211374,0,65,32,16,2,134543233024,0,12897480704,1923639,1078420,0,0,4056241,124887854285,3889111066,3667274957,216457,0,66,32,16,2,134543233024,0,12897480704,1985930,1111801,0,0
ol79-orcl-db01_ORCLCDB_132841,0,2832984852,1,8,3942951,124834863514,3790237705,3488858112,211979,0,65,32,16,2,134543233024,0,12897480704,1929656,1081426,0,0,4068543,124873821389,3900651976,3668017152,217001,0,66,32,16,2,134543233024,0,12897480704,1992256,1114796,0,0
ol79-orcl-db01_ORCLCDB_132841,0,2832984852,1,9,3954029,124830733926,3801586365,3488251085,212564,0,65,32,16,2,134543233024,0,12897480704,1935354,1084158,0,0,4080418,124851118899,3912000106,3668014694,217622,0,66,32,16,2,134543233024,0,12897480704,1998419,1117652,0,0
