""
_PKEY,_CON_ID,_DBID,_INSTANCE_NUMBER,_HH,BUSY_TIME_PERC90,FREE_MEMORY_BYTES_PERC90,IDLE_TIME_PERC90,INACTIVE_MEMORY_BYTES_PERC90,IOWAIT_TIME_PERC90,LOAD_PERC90,NICE_TIME_PERC90,NUM_CPUS_PERC90,NUM_CPU_CORES_PERC90,NUM_CPU_SOCKETS_PERC90,PHYSICAL_MEMORY_BYTES_PERC90,RSRC_MGR_CPU_WAIT_TIME_PERC90,SWAP_FREE_BYTES_PERC90,SYS_TIME_PERC90,USER_TIME_PERC90,VM_IN_BYTES_PERC90,VM_OUT_BYTES_PERC90,BUSY_TIME_PERC95,FREE_MEMORY_BYTES_PERC95,IDLE_TIME_PERC95,INACTIVE_MEMORY_BYTES_PERC95,IOWAIT_TIME_PERC95,LOAD_PERC95,NICE_TIME_PERC95,NUM_CPUS_PERC95,NUM_CPU_CORES_PERC95,NUM_CPU_SOCKETS_PERC95,PHYSICAL_MEMORY_BYTES_PERC95,RSRC_MGR_CPU_WAIT_TIME_PERC95,SWAP_FREE_BYTES_PERC95,SYS_TIME_PERC95,USER_TIME_PERC95,VM_IN_BYTES_PERC95,VM_OUT_BYTES_PERC95
ol79-orcl-db01_ORCLCDB_132841,0,2832984852,1,10,3965354,124846516634,3813127500,3488410010,213265,0,65,32,16,2,134543233024,0,12897480704,1941148,1086947,0,0,4092665,124871122125,3923542133,3668188365,218301,0,66,32,16,2,134543233024,0,12897480704,2004727,1120570,0,0
ol79-orcl-db01_ORCLCDB_132841,0,2832984852,1,11,3976790,124844961792,3824668567,3489002291,213754,0,65,32,16,2,134543233024,0,12897480704,1946951,1089740,0,0,4105239,124871241728,3935082744,3668842906,218808,0,66,32,16,2,134543233024,0,12897480704,2011168,1123538,0,0
ol79-orcl-db01_ORCLCDB_132841,0,2832984852,1,12,3988607,124842618061,3836209965,3490933146,214333,0,65,32,16,2,134543233024,0,12897480704,1952971,1092681,0,0,4118346,124866897510,3946622678,3670170829,219412,0,66,32,16,2,134543233024,0,12897480704,2017872,1126706,0,0
ol79-orcl-db01_ORCLCDB_132841,0,2832984852,1,13,3721565,124842434970,3599323155,3384361779,203170,0,61,32,16,2,134543233024,0,12897480704,1820545,1021505,0,0,3828383,124865554637,3695933735,3392037274,207700,0,63,32,16,2,134543233024,0,12897480704,1873442,1050055,0,0
ol79-orcl-db01_ORCLCDB_132841,0,2832984852,1,14,3734455,124840959590,3610673308,3384649318,203775,0,61,32,16,2,134543233024,0,12897480704,1827130,1024537,0,0,3841217,124865206067,3707284463,3392301875,208315,0,63,32,16,2,134543233024,0,12897480704,1880065,1053071,0,0
ol79-orcl-db01_ORCLCDB_132841,0,2832984852,1,15,3747552,124840417690,3622216065,3384752128,204418,0,61,32,16,2,134543233024,0,12897480704,1833860,1027619,0,0,3854211,124864433357,3718826459,3392271360,208939,0,63,32,16,2,134543233024,0,12897480704,1886785,1056151,0,0
ol79-orcl-db01_ORCLCDB_132841,0,2832984852,1,16,3760953,124837790515,3633759457,3383069082,205057,0,61,32,16,2,134543233024,0,12897480704,1840750,1030752,0,0,3867573,124860977562,3730369683,3388433613,209533,0,63,32,16,2,134543233024,0,12897480704,1893668,1059294,0,0
ol79-orcl-db01_ORCLCDB_132841,0,2832984852,1,17,3774278,124834649702,3645300587,3382876979,205545,0,61,32,16,2,134543233024,0,12897480704,1847585,1033867,0,0,3880816,124859591475,3741911202,3387549082,210056,0,63,32,16,2,134543233024,0,12897480704,1900507,1062390,0,0
ol79-orcl-db01_ORCLCDB_132841,0,2832984852,1,18,3787723,124830699930,3656708086,3527079936,206037,0,61,32,16,2,134543233024,0,12897480704,1854362,1037247,0,0,3894568,124854995149,3753386594,3683851264,210538,0,63,32,16,2,134543233024,0,12897480704,1907326,1066099,0,0
ol79-orcl-db01_ORCLCDB_132841,0,2832984852,1,19,3800807,124820591821,3668192489,3520434586,206641,0,61,32,16,2,134543233024,0,12897480704,1861124,1040352,0,0,3907356,124849293926,3764804273,3680993485,211157,0,63,32,16,2,134543233024,0,12897480704,1913944,1069151,0,0
ol79-orcl-db01_ORCLCDB_132841,0,2832984852,1,20,3814004,124809312256,3679734442,3520623002,207316,0,61,32,16,2,134543233024,0,12897480704,1867970,1043465,0,0,3920313,124844069888,3776346490,3681138893,211745,0,63,32,16,2,134543233024,0,12897480704,1920683,1072219,0,0
ol79-orcl-db01_ORCLCDB_132841,0,2832984852,1,21,3831636,124693020262,3691273285,3524637082,207790,1,61,32,16,2,134543233024,0,12897480704,1874963,1050815,0,0,3937574,124707360563,3787885701,3684436173,212267,1,63,32,16,2,134543233024,0,12897480704,1927588,1079328,0,0
ol79-orcl-db01_ORCLCDB_132841,0,2832984852,1,22,3848285,124734820762,3702811884,3525065114,208306,0,61,32,16,2,134543233024,0,12897480704,1881937,1057057,0,0,3954245,124794626253,3799423945,3685215437,212780,0,63,32,16,2,134543233024,0,12897480704,1934545,1085636,0,0
ol79-orcl-db01_ORCLCDB_132841,0,2832984852,1,23,3862667,124733125018,3714159316,3531188634,208850,0,61,32,16,2,134543233024,0,12897480704,1888862,1061144,0,0,3968631,124790221005,3810772336,3688443085,213277,0,63,32,16,2,134543233024,0,12897480704,1941479,1089714,0,0
