
PKEY                         ,    CON_ID,OWNER                                   ,OBJECT_TYPE         ,E,     COUNT, IN_CON_ID,  IN_OWNER,IN_OBJECT_TYPE,IN_EDITIONABLE
ol79-orcl-db01_ORCLCDB_132841,         1,DVSYS                                   ,LOB                 , ,         1,         0,         0,             0,             0
ol79-orcl-db01_ORCLCDB_132841,         1,AUDSYS                                  ,LOB                 , ,         3,         0,         0,             0,             0
ol79-orcl-db01_ORCLCDB_132841,         1,OJVMSYS                                 ,LOB                 , ,         1,         0,         0,             0,             0
ol79-orcl-db01_ORCLCDB_132841,         1,GSMADMIN_INTERNAL                       ,LOB                 , ,         8,         0,         0,             0,             0
ol79-orcl-db01_ORCLCDB_132841,         1,                                        ,LOB                 , ,        13,         0,         1,             0,             1
ol79-orcl-db01_ORCLCDB_132841,         1,DVSYS                                   ,TYPE                ,N,        75,         0,         0,             0,             0
ol79-orcl-db01_ORCLCDB_132841,         1,GSMADMIN_INTERNAL                       ,TYPE                ,N,        45,         0,         0,             0,             0
ol79-orcl-db01_ORCLCDB_132841,         1,                                        ,TYPE                , ,       120,         0,         1,             0,             1
ol79-orcl-db01_ORCLCDB_132841,         1,DVSYS                                   ,VIEW                ,N,       119,         0,         0,             0,             0
ol79-orcl-db01_ORCLCDB_132841,         1,AUDSYS                                  ,VIEW                ,N,         6,         0,         0,             0,             0
ol79-orcl-db01_ORCLCDB_132841,         1,GSMADMIN_INTERNAL                       ,VIEW                ,N,         9,         0,         0,             0,             0
ol79-orcl-db01_ORCLCDB_132841,         1,                                        ,VIEW                , ,       134,         0,         1,             0,             1
ol79-orcl-db01_ORCLCDB_132841,         1,DVSYS                                   ,INDEX               , ,        78,         0,         0,             0,             0
ol79-orcl-db01_ORCLCDB_132841,         1,AUDSYS                                  ,INDEX               , ,         3,         0,         0,             0,             0
ol79-orcl-db01_ORCLCDB_132841,         1,OJVMSYS                                 ,INDEX               , ,         7,         0,         0,             0,             0
ol79-orcl-db01_ORCLCDB_132841,         1,DBSFWUSER                               ,INDEX               , ,         3,         0,         0,             0,             0
ol79-orcl-db01_ORCLCDB_132841,         1,GSMADMIN_INTERNAL                       ,INDEX               , ,        50,         0,         0,             0,             0
ol79-orcl-db01_ORCLCDB_132841,         1,                                        ,INDEX               , ,       141,         0,         1,             0,             1
ol79-orcl-db01_ORCLCDB_132841,         1,GSMADMIN_INTERNAL                       ,QUEUE               , ,         2,         0,         0,             0,             0
ol79-orcl-db01_ORCLCDB_132841,         1,                                        ,QUEUE               , ,         2,         0,         1,             0,             1
ol79-orcl-db01_ORCLCDB_132841,         1,DVSYS                                   ,TABLE               , ,        44,         0,         0,             0,             0
ol79-orcl-db01_ORCLCDB_132841,         1,AUDSYS                                  ,TABLE               , ,         1,         0,         0,             0,             0
ol79-orcl-db01_ORCLCDB_132841,         1,OJVMSYS                                 ,TABLE               , ,         6,         0,         0,             0,             0
ol79-orcl-db01_ORCLCDB_132841,         1,DBSFWUSER                               ,TABLE               , ,         3,         0,         0,             0,             0
