
PKEY                         ,    CON_ID,OWNER                                             ,        PK,        UK,        CK,        RI,      VWCK,      VWRO,  HASHEXPR,    SUPLOG,NUM_TABLES,TOTAL_CONS
ol79-orcl-db01_ORCLCDB_132841,         1,SYSTEM                                            ,        89,         5,       265,        16,          ,          ,          ,          ,       131,       404
ol79-orcl-db01_ORCLCDB_132841,         1,ORDDATA                                           ,        40,        35,       281,        75,          ,          ,          ,          ,        90,       439
ol79-orcl-db01_ORCLCDB_132841,         1,DVSYS                                             ,        21,        32,       130,        22,          ,          ,          ,          ,        44,       209
ol79-orcl-db01_ORCLCDB_132841,         1,SYS                                               ,       511,        78,      4325,        98,          ,          ,          ,          ,      1547,      5299
ol79-orcl-db01_ORCLCDB_132841,         1,DBSNMP                                            ,         8,         2,        68,         2,          ,          ,          ,          ,        20,        80
ol79-orcl-db01_ORCLCDB_132841,         1,XDB                                               ,         8,         4,        44,         2,          ,          ,          ,          ,        35,        78
ol79-orcl-db01_ORCLCDB_132841,         1,MDSYS                                             ,        68,        29,       238,        45,          ,          ,          ,          ,       147,       424
ol79-orcl-db01_ORCLCDB_132841,         1,AUDSYS                                            ,          ,          ,         5,          ,          ,          ,          ,          ,         1,         5
ol79-orcl-db01_ORCLCDB_132841,         1,OJVMSYS                                           ,         2,          ,          ,          ,          ,          ,          ,          ,         6,         6
ol79-orcl-db01_ORCLCDB_132841,         1,DBSFWUSER                                         ,          ,         3,         5,          ,          ,          ,          ,          ,         3,         8
ol79-orcl-db01_ORCLCDB_132841,         1,APPQOSSYS                                         ,          ,          ,          ,          ,          ,          ,          ,          ,         5,         5
ol79-orcl-db01_ORCLCDB_132841,         1,GSMADMIN_INTERNAL                                 ,        31,         8,        63,        40,          ,          ,          ,          ,        40,       147
ol79-orcl-db01_ORCLCDB_132841,         1,OUTLN                                             ,          ,          ,          ,          ,          ,          ,          ,          ,         3,         3
ol79-orcl-db01_ORCLCDB_132841,         1,LBACSYS                                           ,        16,         8,        70,        23,          ,          ,          ,          ,        22,       118
ol79-orcl-db01_ORCLCDB_132841,         1,WMSYS                                             ,        24,         2,        29,          ,          ,          ,          ,          ,        38,        60
ol79-orcl-db01_ORCLCDB_132841,         1,ORDSYS                                            ,         3,          ,         6,          ,          ,          ,          ,          ,         4,         9
ol79-orcl-db01_ORCLCDB_132841,         1,OLAPSYS                                           ,         2,          ,         5,          ,          ,          ,          ,          ,         2,         7
ol79-orcl-db01_ORCLCDB_132841,         1,CTXSYS                                            ,        39,        11,        49,         4,          ,          ,          ,          ,        53,       112
