
PKEY                         ,    CON_ID,NAME                                                                  ,CURRE,DETECTED_USAGES,TOTAL_SAMPLES,FIRST_USAGE   ,LAST_USAGE    , AUX_COUNT
ol79-orcl-db01_ORCLCDB_132841,         1,Oracle Database Vault                                                 ,FALSE,              0,           17,              ,              ,
ol79-orcl-db01_ORCLCDB_132841,         1,Oracle In-Database Hadoop                                             ,FALSE,              0,           17,              ,              ,
ol79-orcl-db01_ORCLCDB_132841,         1,Oracle Java Virtual Machine (system)                                  ,TRUE ,             17,           17,01/15/21 21:56,05/08/21 08:18,     39059
ol79-orcl-db01_ORCLCDB_132841,         1,Oracle Java Virtual Machine (user)                                    ,FALSE,              0,           17,              ,              ,
ol79-orcl-db01_ORCLCDB_132841,         1,Oracle Managed Files                                                  ,FALSE,              0,           17,              ,              ,
ol79-orcl-db01_ORCLCDB_132841,         1,Oracle Multimedia                                                     ,FALSE,              0,           17,              ,              ,
ol79-orcl-db01_ORCLCDB_132841,         1,Oracle Multimedia DICOM                                               ,FALSE,              0,           17,              ,              ,
ol79-orcl-db01_ORCLCDB_132841,         1,Oracle Multitenant                                                    ,TRUE ,             17,           17,01/15/21 21:56,05/08/21 08:18,         2
ol79-orcl-db01_ORCLCDB_132841,         1,Oracle Secure Backup                                                  ,FALSE,              0,           17,              ,              ,
ol79-orcl-db01_ORCLCDB_132841,         1,Oracle Text                                                           ,FALSE,              0,           17,              ,              ,
ol79-orcl-db01_ORCLCDB_132841,         1,Oracle Utility Datapump (Export)                                      ,FALSE,              1,           17,03/13/21 01:31,03/13/21 01:31,         4
ol79-orcl-db01_ORCLCDB_132841,         1,Oracle Utility Datapump (Import)                                      ,FALSE,              0,           17,              ,              ,
ol79-orcl-db01_ORCLCDB_132841,         1,Oracle Utility External Table (ORACLE_BIGSQL)                         ,FALSE,              0,           17,              ,              ,
ol79-orcl-db01_ORCLCDB_132841,         1,Oracle Utility External Table (ORACLE_DATAPUMP)                       ,FALSE,              0,           17,              ,              ,
ol79-orcl-db01_ORCLCDB_132841,         1,Oracle Utility External Table (ORACLE_LOADER)                         ,FALSE,              7,           17,01/15/21 21:56,05/01/21 02:17,        84
ol79-orcl-db01_ORCLCDB_132841,         1,Oracle Utility Metadata API                                           ,FALSE,              1,           17,03/13/21 01:31,03/13/21 01:31,        60
ol79-orcl-db01_ORCLCDB_132841,         1,Oracle Utility SQL Loader (Direct Path Load)                          ,FALSE,              0,           17,              ,              ,
ol79-orcl-db01_ORCLCDB_132841,         1,PDB I/O Rate Limits                                                   ,FALSE,              0,           17,              ,              ,
ol79-orcl-db01_ORCLCDB_132841,         1,PERL DBD::Oracle                                                      ,FALSE,              0,           17,              ,              ,
ol79-orcl-db01_ORCLCDB_132841,         1,PHP OCI8                                                              ,FALSE,              0,           17,              ,              ,
ol79-orcl-db01_ORCLCDB_132841,         1,PL/SQL Native Compilation                                             ,FALSE,              0,           17,              ,              ,
ol79-orcl-db01_ORCLCDB_132841,         1,Parallel SQL DDL Execution                                            ,FALSE,              1,           17,01/15/21 21:56,01/15/21 21:56,
ol79-orcl-db01_ORCLCDB_132841,         1,Parallel SQL DML Execution                                            ,FALSE,             14,           17,01/22/21 23:11,04/24/21 03:11,
ol79-orcl-db01_ORCLCDB_132841,         1,Parallel SQL Query Execution                                          ,FALSE,             15,           17,01/15/21 21:56,04/24/21 03:11,
ol79-orcl-db01_ORCLCDB_132841,         1,Partitioning (system)                                                 ,TRUE ,             17,           17,01/15/21 21:56,05/08/21 08:18,     20.81
ol79-orcl-db01_ORCLCDB_132841,         1,Partitioning (user)                                                   ,FALSE,              0,           17,              ,              ,
ol79-orcl-db01_ORCLCDB_132841,         1,Pillar Storage                                                        ,FALSE,              0,           17,              ,              ,
ol79-orcl-db01_ORCLCDB_132841,         1,Pillar Storage with EHCC                                              ,FALSE,              0,           17,              ,              ,
ol79-orcl-db01_ORCLCDB_132841,         1,Privilege Capture                                                     ,FALSE,              0,           17,              ,              ,
ol79-orcl-db01_ORCLCDB_132841,         1,Pro*C                                                                 ,FALSE,              0,           17,              ,              ,
ol79-orcl-db01_ORCLCDB_132841,         1,Pro*Cobol                                                             ,FALSE,              0,           17,              ,              ,
ol79-orcl-db01_ORCLCDB_132841,         1,Pro*Fortran                                                           ,FALSE,              0,           17,              ,              ,
ol79-orcl-db01_ORCLCDB_132841,         1,Quality of Service Management                                         ,FALSE,              0,           17,              ,              ,
ol79-orcl-db01_ORCLCDB_132841,         1,RMAN - Disk Backup                                                    ,FALSE,              1,           17,03/13/21 01:31,03/13/21 01:31,         1
ol79-orcl-db01_ORCLCDB_132841,         1,RMAN - Tape Backup                                                    ,FALSE,              0,           17,              ,              ,
ol79-orcl-db01_ORCLCDB_132841,         1,ROracle                                                               ,FALSE,              0,           17,              ,              ,
ol79-orcl-db01_ORCLCDB_132841,         1,Read Only Tablespace                                                  ,FALSE,              0,           17,              ,              ,
ol79-orcl-db01_ORCLCDB_132841,         1,Real Application Cluster One Node                                     ,FALSE,              0,           17,              ,              ,
ol79-orcl-db01_ORCLCDB_132841,         1,Real Application Clusters (RAC)                                       ,FALSE,              0,           17,              ,              ,
ol79-orcl-db01_ORCLCDB_132841,         1,Real Application Security                                             ,FALSE,              0,           17,              ,              ,
ol79-orcl-db01_ORCLCDB_132841,         1,Real-Time SQL Monitoring                                              ,TRUE ,             17,           17,01/15/21 21:56,05/08/21 08:18,     22994
ol79-orcl-db01_ORCLCDB_132841,         1,Recover Table                                                         ,FALSE,              0,           17,              ,              ,
ol79-orcl-db01_ORCLCDB_132841,         1,Recover Until Snapshot                                                ,FALSE,              0,           17,              ,              ,
ol79-orcl-db01_ORCLCDB_132841,         1,Recovery Area                                                         ,FALSE,              0,           17,              ,              ,
ol79-orcl-db01_ORCLCDB_132841,         1,Recovery Manager (RMAN)                                               ,FALSE,              1,           17,03/13/21 01:31,03/13/21 01:31,         1
ol79-orcl-db01_ORCLCDB_132841,         1,Resource Manager                                                      ,FALSE,             14,           17,01/22/21 23:11,04/24/21 03:11,         0
ol79-orcl-db01_ORCLCDB_132841,         1,Restore Point                                                         ,FALSE,              0,           17,              ,              ,
ol79-orcl-db01_ORCLCDB_132841,         1,Result Cache                                                          ,FALSE,              0,           17,              ,              ,
ol79-orcl-db01_ORCLCDB_132841,         1,Ruby-oci8                                                             ,FALSE,              0,           17,              ,              ,
ol79-orcl-db01_ORCLCDB_132841,         1,Rules Manager                                                         ,FALSE,              0,           17,              ,              ,
ol79-orcl-db01_ORCLCDB_132841,         1,SPM Evolve Advisor                                                    ,FALSE,              0,           17,              ,              ,
ol79-orcl-db01_ORCLCDB_132841,         1,SQL Access Advisor                                                    ,FALSE,              0,           17,              ,              ,
ol79-orcl-db01_ORCLCDB_132841,         1,SQL Monitoring and Tuning pages                                       ,FALSE,              0,           17,              ,              ,
ol79-orcl-db01_ORCLCDB_132841,         1,SQL Performance Analyzer                                              ,FALSE,              0,           17,              ,              ,
ol79-orcl-db01_ORCLCDB_132841,         1,SQL Plan Directive                                                    ,TRUE ,             17,           17,01/15/21 21:56,05/08/21 08:18,        75
ol79-orcl-db01_ORCLCDB_132841,         1,SQL Plan Management                                                   ,FALSE,              0,           17,              ,              ,
ol79-orcl-db01_ORCLCDB_132841,         1,SQL Profile                                                           ,FALSE,              0,           17,              ,              ,
ol79-orcl-db01_ORCLCDB_132841,         1,SQL Repair Advisor                                                    ,FALSE,              0,           17,              ,              ,
ol79-orcl-db01_ORCLCDB_132841,         1,SQL Tuning Advisor                                                    ,FALSE,              0,           17,              ,              ,
ol79-orcl-db01_ORCLCDB_132841,         1,SQL Tuning Set (system)                                               ,TRUE ,             17,           17,01/15/21 21:56,05/08/21 08:18,         0
ol79-orcl-db01_ORCLCDB_132841,         1,SQL Tuning Set (user)                                                 ,FALSE,              0,           17,              ,              ,
ol79-orcl-db01_ORCLCDB_132841,         1,SQL Workload Manager                                                  ,FALSE,              0,           17,              ,              ,
ol79-orcl-db01_ORCLCDB_132841,         1,SQL*Plus                                                              ,FALSE,              2,           17,01/15/21 21:56,02/06/21 01:38,
ol79-orcl-db01_ORCLCDB_132841,         1,Scrollable Cursors                                                    ,FALSE,              0,           17,              ,              ,
ol79-orcl-db01_ORCLCDB_132841,         1,SecureFile Compression (system)                                       ,FALSE,              0,           17,              ,              ,
ol79-orcl-db01_ORCLCDB_132841,         1,SecureFile Compression (user)                                         ,FALSE,              0,           17,              ,              ,
ol79-orcl-db01_ORCLCDB_132841,         1,SecureFile Deduplication (system)                                     ,FALSE,              0,           17,              ,              ,
