
PKEY                         ,    CON_ID,OWNER                         ,TYPE                                    ,SUM_NR_LINES,   QT_OBJS,SUM_NR_LINES_W_UTL,SUM_NR_LINES_W_DBMS,COUNT_EXEC_IM,COUNT_DBMS_SQL,SUM_NR_LINES_W_DBMS_UTL,SUM_COUNT_TOTAL
ol79-orcl-db01_ORCLCDB_132841,         1,GSMADMIN_INTERNAL             ,PROCEDURE                               ,           2,         2,                 0,                  0,            0,             0,                      0,              2
ol79-orcl-db01_ORCLCDB_132841,         1,DVSYS                         ,FUNCTION                                ,         257,        33,                 3,                 18,            1,             9,                      3,            257
ol79-orcl-db01_ORCLCDB_132841,         1,DVSYS                         ,PACKAGE                                 ,        3027,        11,                48,                 73,            0,             0,                     47,           3027
ol79-orcl-db01_ORCLCDB_132841,         1,DVF                           ,FUNCTION                                ,          20,        20,                 0,                  0,            0,             0,                      0,             20
ol79-orcl-db01_ORCLCDB_132841,         1,DVSYS                         ,PROCEDURE                               ,          63,         3,                 1,                  4,            0,             0,                      1,             63
ol79-orcl-db01_ORCLCDB_132841,         1,AUDSYS                        ,PACKAGE                                 ,         551,         2,                 0,                  6,            0,             1,                      0,            551
ol79-orcl-db01_ORCLCDB_132841,         1,GSMADMIN_INTERNAL             ,LIBRARY                                 ,           4,         4,                 0,                  4,            0,             0,                      0,              4
ol79-orcl-db01_ORCLCDB_132841,         1,AUDSYS                        ,PACKAGE BODY                            ,           8,         2,                 2,                  2,            0,             0,                      0,              8
ol79-orcl-db01_ORCLCDB_132841,         1,AUDSYS                        ,LIBRARY                                 ,           1,         1,                 0,                  1,            0,             0,                      0,              1
ol79-orcl-db01_ORCLCDB_132841,         1,DVSYS                         ,LIBRARY                                 ,           5,         5,                 1,                  0,            0,             0,                      0,              5
ol79-orcl-db01_ORCLCDB_132841,         1,REMOTE_SCHEDULER_AGENT        ,PROCEDURE                               ,          12,        12,                 0,                  0,            0,             0,                      0,             12
ol79-orcl-db01_ORCLCDB_132841,         1,GSMADMIN_INTERNAL             ,PACKAGE                                 ,        6950,         9,                 0,                159,            0,             0,                      0,           6950
ol79-orcl-db01_ORCLCDB_132841,         1,REMOTE_SCHEDULER_AGENT        ,FUNCTION                                ,           1,         1,                 0,                  0,            0,             0,                      0,              1
ol79-orcl-db01_ORCLCDB_132841,         1,GSMADMIN_INTERNAL             ,TYPE BODY                               ,          25,         3,                 0,                  0,            0,             0,                      0,             25
ol79-orcl-db01_ORCLCDB_132841,         1,DVF                           ,PACKAGE                                 ,           1,         1,                 0,                  1,            0,             0,                      0,              1
ol79-orcl-db01_ORCLCDB_132841,         1,GSMADMIN_INTERNAL             ,TYPE                                    ,         227,        37,                 0,                  0,            0,             0,                      0,            227
ol79-orcl-db01_ORCLCDB_132841,         1,DVSYS                         ,TYPE                                    ,         368,        75,                 0,                  0,            0,             0,                      0,            368
ol79-orcl-db01_ORCLCDB_132841,         1,DBSFWUSER                     ,PACKAGE                                 ,         538,         1,                 0,                  2,            0,             0,                      0,            538
ol79-orcl-db01_ORCLCDB_132841,         1,DVF                           ,PACKAGE BODY                            ,           1,         1,                 0,                  1,            0,             0,                      0,              1
ol79-orcl-db01_ORCLCDB_132841,         1,GSMADMIN_INTERNAL             ,FUNCTION                                ,           1,         1,                 0,                  0,            0,             0,                      0,              1
ol79-orcl-db01_ORCLCDB_132841,         1,GSMADMIN_INTERNAL             ,PACKAGE BODY                            ,          67,         9,                 4,                  8,            0,             0,                      1,             67
ol79-orcl-db01_ORCLCDB_132841,         1,DVSYS                         ,PACKAGE BODY                            ,          73,        11,                 1,                  9,            0,             0,                      1,             73
ol79-orcl-db01_ORCLCDB_132841,         1,DBSFWUSER                     ,PACKAGE BODY                            ,           2,         1,                 0,                  1,            0,             0,                      0,              2
ol79-orcl-db01_ORCLCDB_132841,         1,GSMADMIN_INTERNAL             ,TRIGGER                                 ,          21,         5,                 0,                  4,            0,             0,                      0,             21
